episode,reward,steps,outcome,env,blocks_placed,timestamp
201,14.3601,109,fell,bridging,0,09:52:54
202,14.4578,173,mission_ended,bridging,0,09:53:25
203,23.3044,101,fell,bridging,0,09:53:47
204,19.5876,173,mission_ended,bridging,1,09:54:18
205,13.0627,173,mission_ended,bridging,0,09:54:50
206,23.9094,63,fell,bridging,1,09:55:05
207,13.8842,173,mission_ended,bridging,0,09:55:36
208,14.1321,165,mission_ended,bridging,0,09:56:08
209,32.1926,81,fell,bridging,0,09:56:26
210,14.3974,173,mission_ended,bridging,0,09:56:57
211,19.2425,174,mission_ended,bridging,1,09:57:32
212,14.0455,173,mission_ended,bridging,0,09:58:04
213,12.8904,173,mission_ended,bridging,0,09:58:39
214,14.721,167,mission_ended,bridging,0,09:59:11
215,13.76,173,mission_ended,bridging,0,09:59:42
216,14.2996,173,mission_ended,bridging,0,10:00:14
217,22.1889,77,fell,bridging,0,10:00:31
218,13.8053,173,mission_ended,bridging,0,10:01:02
219,35.8347,173,mission_ended,bridging,1,10:01:34
220,13.2262,174,mission_ended,bridging,0,10:02:09
221,19.3994,165,mission_ended,bridging,1,10:02:41
222,46.8988,107,fell,bridging,1,10:03:03
223,13.2953,173,mission_ended,bridging,0,10:03:34
224,40.4759,162,fell,bridging,1,10:04:06
225,14.9633,91,fell,bridging,0,10:04:25
226,14.3133,173,mission_ended,bridging,0,10:04:57
227,14.5439,173,mission_ended,bridging,0,10:05:28
228,14.3453,163,mission_ended,bridging,0,10:06:00
229,16.5507,46,fell,bridging,0,10:06:12
230,38.1218,173,mission_ended,bridging,2,10:06:43
231,14.0184,173,mission_ended,bridging,0,10:07:15
232,14.1104,173,mission_ended,bridging,0,10:07:47
233,18.5089,90,fell,bridging,0,10:08:06
234,30.0651,92,fell,bridging,0,10:08:26
235,15.2093,85,fell,bridging,0,10:08:45
236,14.2776,164,mission_ended,bridging,0,10:09:16
237,33.7055,173,mission_ended,bridging,1,10:09:48
238,13.0447,174,mission_ended,bridging,0,10:10:23
239,13.5365,174,mission_ended,bridging,0,10:10:57
240,30.6622,45,fell,bridging,0,10:11:09
241,14.8571,89,fell,bridging,0,10:11:28
242,39.3402,174,mission_ended,bridging,1,10:12:03
243,14.8752,164,mission_ended,bridging,0,10:12:35
244,13.6106,173,mission_ended,bridging,0,10:13:06
245,45.6606,173,mission_ended,bridging,2,10:13:38
246,14.4484,173,mission_ended,bridging,0,10:14:09
247,13.5555,173,mission_ended,bridging,0,10:14:41
248,49.4682,173,mission_ended,bridging,3,10:15:13
249,47.2518,163,mission_ended,bridging,2,10:15:44
250,14.1506,173,mission_ended,bridging,0,10:16:16
251,16.0785,49,fell,bridging,0,10:16:28
252,25.3739,95,fell,bridging,0,10:16:48
253,18.8128,51,fell,bridging,0,10:17:01
254,16.5413,87,fell,bridging,0,10:17:20
255,17.9317,36,fell,bridging,0,10:17:30
256,24.5815,42,fell,bridging,0,10:17:41
257,19.2254,49,fell,bridging,0,10:17:54
258,13.5807,173,mission_ended,bridging,0,10:18:25
259,15.7587,50,fell,bridging,0,10:18:38
260,47.1247,172,mission_ended,bridging,2,10:19:11
261,31.4588,173,mission_ended,bridging,2,10:19:42
262,13.813,173,mission_ended,bridging,0,10:20:14
263,72.0743,173,mission_ended,bridging,3,10:20:45
264,15.3132,64,fell,bridging,0,10:21:01
265,13.3055,173,mission_ended,bridging,0,10:21:32
266,23.4017,162,fell,bridging,0,10:22:03
267,29.9018,124,fell,bridging,1,10:22:30
268,48.0129,98,fell,bridging,2,10:22:51
269,14.3803,87,fell,bridging,0,10:23:10
270,13.6205,154,fell,bridging,0,10:23:40
271,13.7419,174,mission_ended,bridging,0,10:24:15
272,25.6736,37,fell,bridging,0,10:24:25
273,34.0806,173,mission_ended,bridging,1,10:24:57
274,14.1878,173,mission_ended,bridging,0,10:25:28
275,52.141,164,mission_ended,bridging,4,10:26:00
276,15.5096,52,fell,bridging,0,10:26:13
277,65.869,129,fell,bridging,5,10:26:39
278,13.1749,171,fell,bridging,0,10:27:10
279,15.9596,106,fell,bridging,0,10:27:32
280,22.0898,129,fell,bridging,1,10:27:59
281,35.0347,173,mission_ended,bridging,1,10:28:30
282,14.0742,173,mission_ended,bridging,0,10:29:02
283,16.6204,111,fell,bridging,0,10:29:26
284,24.1531,118,fell,bridging,0,10:29:51
285,14.4325,173,mission_ended,bridging,0,10:30:22
286,15.0374,173,mission_ended,bridging,0,10:30:54
287,13.7451,173,mission_ended,bridging,0,10:31:25
288,15.9831,64,fell,bridging,0,10:31:40
289,12.8306,173,mission_ended,bridging,0,10:32:12
290,15.9573,37,fell,bridging,0,10:32:22
291,20.4488,106,fell,bridging,1,10:32:46
292,14.4986,173,mission_ended,bridging,0,10:33:17
293,18.5189,13,fell,bridging,0,10:33:24
294,20.739,173,mission_ended,bridging,1,10:33:55
295,19.8394,173,mission_ended,bridging,1,10:34:27
296,13.9537,173,mission_ended,bridging,0,10:34:58
297,14.1941,173,mission_ended,bridging,0,10:35:30
298,18.9854,164,mission_ended,bridging,1,10:36:02
299,14.0337,173,mission_ended,bridging,0,10:36:33
300,14.2056,174,mission_ended,bridging,0,10:37:08
301,32.9381,174,mission_ended,bridging,1,10:37:43
302,20.6242,152,fell,bridging,0,10:38:13
303,15.4908,66,fell,bridging,0,10:38:28
304,15.9781,19,fell,bridging,0,10:38:36
305,13.4343,173,mission_ended,bridging,0,10:39:07
306,13.5348,163,mission_ended,bridging,0,10:39:39
307,14.6541,141,fell,bridging,0,10:40:07
308,29.1237,65,fell,bridging,0,10:40:22
309,29.9745,173,mission_ended,bridging,1,10:40:54
310,23.1171,24,fell,bridging,0,10:41:02
311,29.7911,120,fell,bridging,0,10:41:26
312,58.1016,164,fell,bridging,2,10:41:58
313,13.7288,173,mission_ended,bridging,0,10:42:29
314,14.5463,164,mission_ended,bridging,0,10:43:01
315,13.3655,173,mission_ended,bridging,0,10:43:32
316,46.5859,173,mission_ended,bridging,2,10:44:04
317,14.6192,173,mission_ended,bridging,0,10:44:36
318,43.7591,173,mission_ended,bridging,2,10:45:07
319,72.937,173,mission_ended,bridging,3,10:45:39
320,14.1088,165,mission_ended,bridging,0,10:46:13
321,16.1577,18,fell,bridging,0,10:46:21
322,14.458,115,fell,bridging,0,10:46:44
323,42.0159,173,mission_ended,bridging,1,10:47:16
324,14.9949,74,fell,bridging,0,10:47:33
325,22.3892,144,fell,bridging,0,10:48:01
326,14.2961,174,mission_ended,bridging,0,10:48:33
327,14.1879,165,mission_ended,bridging,0,10:49:05
328,19.9065,173,mission_ended,bridging,1,10:49:37
329,14.4646,173,mission_ended,bridging,0,10:50:08
330,13.7345,174,mission_ended,bridging,0,10:50:43
331,14.9454,121,fell,bridging,0,10:51:08
332,14.2559,173,mission_ended,bridging,0,10:51:39
333,41.6035,173,mission_ended,bridging,1,10:52:11
334,14.3624,164,mission_ended,bridging,0,10:52:42
335,23.5755,28,fell,bridging,0,10:52:51
336,14.4767,173,mission_ended,bridging,0,10:53:23
337,13.9263,173,mission_ended,bridging,0,10:53:54
338,15.8857,53,fell,bridging,0,10:54:08
339,24.6859,173,mission_ended,bridging,2,10:54:39
340,13.7943,173,mission_ended,bridging,0,10:55:11
341,22.9081,164,mission_ended,bridging,0,10:55:46
342,27.7707,173,mission_ended,bridging,2,10:56:17
343,20.7604,144,fell,bridging,0,10:56:46
344,13.2544,173,mission_ended,bridging,0,10:57:17
345,3.7582,32,fell,bridging,0,10:57:27
346,14.5671,173,mission_ended,bridging,0,10:57:59
347,14.354,173,mission_ended,bridging,0,10:58:30
348,17.2478,26,fell,bridging,0,10:58:39
349,14.4894,113,fell,bridging,0,10:59:03
350,26.5197,165,fell,bridging,1,10:59:35
351,13.0176,174,mission_ended,bridging,0,11:00:09
352,18.9491,36,fell,bridging,0,11:00:20
353,52.0714,173,mission_ended,bridging,3,11:00:51
354,13.2219,173,mission_ended,bridging,0,11:01:23
355,14.3814,173,mission_ended,bridging,0,11:01:55
356,14.0953,164,mission_ended,bridging,0,11:02:26
357,13.3295,173,mission_ended,bridging,0,11:02:58
358,12.9735,173,mission_ended,bridging,0,11:03:30
359,22.2479,110,fell,bridging,1,11:03:52
360,30.457,105,fell,bridging,0,11:04:14
361,15.1922,104,fell,bridging,0,11:04:36
362,57.1422,173,mission_ended,bridging,4,11:05:08
363,14.5616,163,mission_ended,bridging,0,11:05:39
364,46.1654,173,mission_ended,bridging,2,11:06:11
365,25.5666,97,fell,bridging,0,11:06:32
366,14.7623,173,mission_ended,bridging,0,11:07:03
367,13.7105,174,mission_ended,bridging,0,11:07:38
368,39.9776,158,fell,bridging,1,11:08:09
369,14.1275,173,mission_ended,bridging,0,11:08:41
370,38.5341,163,mission_ended,bridging,1,11:09:12
371,18.6173,89,fell,bridging,0,11:09:32
372,24.4791,164,fell,bridging,2,11:10:03
373,13.4337,173,mission_ended,bridging,0,11:10:38
374,16.224,26,fell,bridging,0,11:10:46
375,14.0051,173,mission_ended,bridging,0,11:11:18
376,13.6192,173,mission_ended,bridging,0,11:11:50
377,13.7985,165,mission_ended,bridging,0,11:12:21
378,14.0833,173,mission_ended,bridging,0,11:12:53
379,14.7206,173,mission_ended,bridging,0,11:13:24
380,13.8031,173,mission_ended,bridging,0,11:13:56
381,13.7465,173,mission_ended,bridging,0,11:14:28
382,28.5813,16,fell,bridging,0,11:14:34
383,18.5454,173,mission_ended,bridging,1,11:15:06
384,38.9675,165,mission_ended,bridging,1,11:15:41
385,13.9144,173,mission_ended,bridging,0,11:16:12
386,25.4146,67,fell,bridging,0,11:16:28
387,13.4469,173,mission_ended,bridging,0,11:16:59
388,15.6631,24,fell,bridging,0,11:17:07
389,14.0053,173,mission_ended,bridging,0,11:17:39
390,32.6499,68,fell,bridging,0,11:17:55
391,26.8641,81,fell,bridging,0,11:18:13
392,18.7263,20,fell,bridging,0,11:18:20
393,41.2584,163,mission_ended,bridging,1,11:18:52
394,20.5138,49,fell,bridging,0,11:19:04
395,62.0682,39,fell,bridging,1,11:19:15
396,31.3059,95,fell,bridging,1,11:19:35
397,13.9984,173,mission_ended,bridging,0,11:20:07
398,14.876,173,mission_ended,bridging,0,11:20:38
399,20.3939,27,fell,bridging,0,11:20:47
400,14.1102,173,mission_ended,bridging,0,11:21:19
401,29.8625,18,fell,bridging,0,11:21:26
402,19.0858,173,mission_ended,bridging,1,11:21:57
403,23.6759,123,fell,bridging,0,11:22:24
404,25.6647,68,fell,bridging,0,11:22:40
405,15.4068,74,fell,bridging,0,11:22:56
406,53.3964,171,fell,bridging,2,11:23:28
407,13.4259,173,mission_ended,bridging,0,11:23:59
408,19.3127,167,fell,bridging,0,11:24:31
409,40.8424,91,fell,bridging,1,11:24:51
410,14.339,173,mission_ended,bridging,0,11:25:22
411,29.4392,28,fell,bridging,0,11:25:31
412,14.7916,163,mission_ended,bridging,0,11:26:03
413,30.9646,151,fell,bridging,1,11:26:33
414,44.7143,173,mission_ended,bridging,2,11:27:07
415,14.6025,173,mission_ended,bridging,0,11:27:39
416,30.9259,32,fell,bridging,0,11:27:48
417,19.3601,23,fell,bridging,0,11:27:56
418,22.0713,17,fell,bridging,0,11:28:03
419,17.9526,114,fell,bridging,0,11:28:27
420,18.6768,123,fell,bridging,0,11:28:52
421,29.1889,165,mission_ended,bridging,3,11:29:26
422,20.715,65,fell,bridging,0,11:29:42
423,14.649,173,mission_ended,bridging,0,11:30:13
424,17.4262,20,fell,bridging,0,11:30:21
425,15.5665,69,fell,bridging,0,11:30:37
426,17.719,70,fell,bridging,0,11:30:53
427,19.6562,34,fell,bridging,0,11:31:02
428,13.232,174,mission_ended,bridging,0,11:31:37
429,22.5406,94,fell,bridging,0,11:31:57
430,21.1712,91,fell,bridging,1,11:32:17
431,20.5985,41,fell,bridging,0,11:32:28
432,23.1616,23,fell,bridging,0,11:32:36
433,25.4995,12,fell,bridging,0,11:32:42
434,20.7192,48,fell,bridging,0,11:32:54
435,14.1999,163,mission_ended,bridging,0,11:33:26
436,55.8805,77,fell,bridging,2,11:33:43
437,67.1142,173,mission_ended,bridging,3,11:34:14
438,21.9452,106,fell,bridging,1,11:34:36
439,14.828,93,fell,bridging,0,11:34:56
440,58.5672,97,fell,bridging,3,11:35:17
441,19.8484,156,fell,bridging,0,11:35:48
442,52.2173,173,mission_ended,bridging,3,11:36:19
443,13.8403,165,mission_ended,bridging,0,11:36:51
444,15.8606,47,fell,bridging,0,11:37:03
445,24.0066,52,fell,bridging,0,11:37:16
446,72.3245,173,mission_ended,bridging,3,11:37:48
447,14.8047,173,mission_ended,bridging,0,11:38:20
448,14.1407,173,mission_ended,bridging,0,11:38:51
449,14.375,173,mission_ended,bridging,0,11:39:23
450,15.317,121,fell,bridging,0,11:39:49
451,21.301,69,fell,bridging,0,11:40:05
452,12.3245,168,fell,bridging,0,11:40:36
453,16.3676,97,fell,bridging,0,11:40:57
454,17.2428,7,fell,bridging,0,11:41:02
455,14.0787,174,mission_ended,bridging,0,11:41:34
456,40.885,173,mission_ended,bridging,1,11:42:05
457,12.3062,173,mission_ended,bridging,0,11:42:37
458,15.8779,28,fell,bridging,0,11:42:46
459,45.8721,163,mission_ended,bridging,2,11:43:21
460,14.5801,173,mission_ended,bridging,0,11:43:52
461,15.4507,71,fell,bridging,0,11:44:08
462,46.4155,173,mission_ended,bridging,4,11:44:40
463,25.5264,43,fell,bridging,0,11:44:51
464,15.8405,62,fell,bridging,0,11:45:06
465,21.6484,75,fell,bridging,0,11:45:23
466,13.2545,173,mission_ended,bridging,0,11:45:57
467,21.7277,41,fell,bridging,0,11:46:08
468,16.3047,28,fell,bridging,0,11:46:17
469,14.5377,163,mission_ended,bridging,0,11:46:49
470,16.2388,67,fell,bridging,0,11:47:04
471,29.2284,29,fell,bridging,0,11:47:13
472,13.8357,173,mission_ended,bridging,0,11:47:45
473,27.5319,30,fell,bridging,0,11:47:54
474,36.9157,125,fell,bridging,1,11:48:19
475,15.3314,60,fell,bridging,0,11:48:33
476,23.3452,43,fell,bridging,0,11:48:45
477,44.9242,132,fell,bridging,1,11:49:11
478,14.7958,173,mission_ended,bridging,0,11:49:43
479,45.9859,173,mission_ended,bridging,2,11:50:15
480,14.7216,165,mission_ended,bridging,0,11:50:46
481,19.2741,94,fell,bridging,0,11:51:06
482,37.4894,173,mission_ended,bridging,2,11:51:41
483,14.8854,173,mission_ended,bridging,0,11:52:13
484,13.6534,166,fell,bridging,0,11:52:44
485,15.0331,140,fell,bridging,0,11:53:12
486,24.3271,91,fell,bridging,0,11:53:32
487,15.2299,70,fell,bridging,0,11:53:49
488,51.9765,173,mission_ended,bridging,3,11:54:21
489,12.1603,173,mission_ended,bridging,0,11:54:52
490,16.2789,14,fell,bridging,0,11:54:59
491,14.4929,173,mission_ended,bridging,0,11:55:30
492,33.655,25,fell,bridging,1,11:55:39
493,23.5207,56,fell,bridging,0,11:55:52
494,16.2665,25,fell,bridging,0,11:56:01
495,16.6162,32,fell,bridging,0,11:56:10
496,16.2685,104,fell,bridging,0,11:56:32
497,30.2875,52,fell,bridging,0,11:56:45
498,22.6053,102,fell,bridging,0,11:57:06
499,26.9595,164,mission_ended,bridging,1,11:57:38
500,15.2969,105,fell,bridging,0,11:58:00
501,16.8461,56,fell,bridging,0,11:58:13
502,19.8943,60,fell,bridging,0,11:58:28
503,21.3651,127,fell,bridging,0,11:58:53
504,21.7035,43,fell,bridging,0,11:59:05
505,45.2244,173,mission_ended,bridging,2,11:59:36
506,13.7701,173,mission_ended,bridging,0,12:00:08
507,27.0762,174,mission_ended,bridging,1,12:00:43
508,13.3231,164,mission_ended,bridging,0,12:01:17
509,16.3432,42,fell,bridging,0,12:01:29
510,19.1177,23,fell,bridging,0,12:01:37
511,19.6017,46,fell,bridging,0,12:01:49
512,29.0655,173,mission_ended,bridging,3,12:02:23
513,19.2752,70,fell,bridging,0,12:02:39
514,62.2184,102,fell,bridging,3,12:03:01
515,20.8852,50,fell,bridging,1,12:03:13
516,15.9447,39,fell,bridging,0,12:03:24
517,13.8824,173,mission_ended,bridging,0,12:03:56
518,14.4512,121,fell,bridging,0,12:04:20
519,18.8318,58,fell,bridging,0,12:04:35
520,14.1532,173,mission_ended,bridging,0,12:05:07
521,21.8064,101,fell,bridging,0,12:05:28
522,15.8192,58,fell,bridging,0,12:05:42
523,13.4441,173,mission_ended,bridging,0,12:06:14
524,25.2811,65,fell,bridging,1,12:06:29
525,14.7152,173,mission_ended,bridging,0,12:07:00
526,13.9337,173,mission_ended,bridging,0,12:07:32
527,13.6022,82,fell,bridging,0,12:07:51
528,46.1613,173,mission_ended,bridging,2,12:08:23
529,14.3171,138,fell,bridging,0,12:08:51
530,28.1619,67,fell,bridging,0,12:09:06
531,16.3377,54,fell,bridging,0,12:09:19
532,14.2968,173,mission_ended,bridging,0,12:09:51
533,13.561,173,mission_ended,bridging,0,12:10:23
534,39.2554,173,mission_ended,bridging,1,12:10:54
535,98.3392,166,mission_ended,bridging,4,12:11:26
536,24.4251,135,fell,bridging,0,12:11:53
537,23.9584,68,fell,bridging,0,12:12:09
