episode,reward,steps,outcome,timestamp
2317,11.7283,8,landed,20:13:53
2318,11.5703,14,landed,20:14:10
2319,-3.632,12,fell,20:14:26
2320,-3.5,12,fell,20:14:32
2321,-3.4178,11,fell,20:14:37
2322,-3.6018,12,fell,20:14:43
2323,11.5148,13,landed,20:14:49
2324,-3.6,13,fell,20:15:06
2325,11.5743,13,landed,20:15:12
2326,-3.61,11,fell,20:15:27
2327,-3.6,13,fell,20:15:33
2328,-3.6,13,fell,20:15:39
2329,-3.7,14,fell,20:15:46
2330,-3.6,13,fell,20:15:52
2331,-3.5,12,fell,20:15:58
2332,-3.6,13,fell,20:16:04
2333,-3.6,13,fell,20:16:10
2334,-3.6,13,fell,20:16:16
2335,-3.6116,13,fell,20:16:22
2336,-3.5322,12,fell,20:16:28
2337,-3.6,13,fell,20:16:34
2338,-3.6263,12,fell,20:16:40
2339,11.5316,13,landed,20:16:46
2340,-3.7014,14,fell,20:17:03
2341,-3.6,13,fell,20:17:09
2342,-3.6,13,fell,20:17:15
2343,-3.6,13,fell,20:17:21
2344,11.0633,20,landed,20:17:28
2345,-3.6011,13,fell,20:17:43
2346,-3.7723,11,fell,20:17:49
2347,-3.5,12,fell,20:17:55
2348,10.99,21,landed,20:18:02
2349,-3.6,13,fell,20:18:08
2350,-3.5016,12,fell,20:18:14
2351,-3.6,13,fell,20:18:20
2352,-3.8216,14,fell,20:18:27
2353,-3.6,13,fell,20:18:33
2354,-3.6208,13,fell,20:18:39
2355,-3.6,13,fell,20:18:45
2356,-3.6,13,fell,20:18:51
2357,-3.7,14,fell,20:18:58
2358,11.6439,13,landed,20:19:03
2359,-3.5624,11,fell,20:19:19
2360,11.5118,13,landed,20:19:25
2361,-3.5,12,fell,20:19:41
2362,-3.594,11,fell,20:19:47
2363,-3.6319,13,fell,20:19:53
2364,-3.6612,13,fell,20:19:59
2365,-3.5686,11,fell,20:20:05
2366,11.6703,13,landed,20:20:11
2367,11.4544,15,landed,20:20:27
2368,-3.6,13,fell,20:20:43
2369,-3.6,13,fell,20:20:49
2370,-3.7402,16,fell,20:20:56
2371,11.5437,13,landed,20:21:02
2372,11.8143,12,landed,20:21:18
2373,11.6061,13,landed,20:21:34
2374,-3.7,14,fell,20:21:51
2375,-3.4463,11,fell,20:21:56
2376,-3.5487,12,fell,20:22:02
2377,-3.9276,13,fell,20:22:09
2378,-3.6,13,fell,20:22:15
2379,11.7827,13,landed,20:22:21
2380,11.5001,13,landed,20:22:37
2381,-3.4,11,fell,20:22:53
2382,11.6698,14,landed,20:22:59
2383,-3.5,12,fell,20:23:15
2384,-3.6,13,fell,20:23:21
2385,-3.6,13,fell,20:23:27
2386,-3.5027,9,fell,20:23:33
2387,-3.6043,12,fell,20:23:39
2388,11.5201,11,landed,20:23:45
2389,-3.7457,13,fell,20:24:01
2390,11.6464,13,landed,20:24:07
2391,-3.7,14,fell,20:24:23
2392,-3.4763,11,fell,20:24:29
2393,11.7191,13,landed,20:24:35
2394,-3.8775,15,fell,20:24:51
2395,-3.5,12,fell,20:24:57
2396,-3.6,13,fell,20:25:03
2397,11.6825,14,landed,20:25:09
2398,-3.6,13,fell,20:25:26
2399,-3.5,12,fell,20:25:32
2400,-3.6,13,fell,20:25:38
2401,-3.6,13,fell,20:25:44
2402,-3.6091,12,fell,20:25:50
2403,-3.5,12,fell,20:25:56
2404,-3.7,14,fell,20:26:02
