episode,reward,steps,outcome,timestamp
435,-5.141,12,fell,11:02:33
436,-4.2,14,fell,11:02:40
437,-4.4,16,fell,11:02:46
438,-4.2,14,fell,11:02:52
439,-3.84,13,fell,11:02:58
440,-4.0992,13,fell,11:03:05
441,-5.4451,7,fell,11:03:10
442,-4.1,13,fell,11:03:16
443,11.4427,11,landed,11:03:22
444,-5.2722,7,fell,11:03:37
445,11.4502,10,landed,11:03:43
446,11.3957,12,landed,11:03:59
447,-4.7706,18,fell,11:04:16
448,-4.5,17,fell,11:04:23
449,-4.5606,13,fell,11:04:29
450,-4.7392,12,fell,11:04:35
451,-3.9,11,fell,11:04:40
452,-4.0,12,fell,11:04:46
453,-4.1812,15,fell,11:04:53
454,-4.4607,15,fell,11:04:59
455,-4.5772,10,fell,11:05:05
456,-3.9,11,fell,11:05:11
457,10.8923,17,landed,11:05:17
458,-4.4154,13,fell,11:05:24
459,-3.9394,14,fell,11:05:30
460,-4.4,16,fell,11:05:37
461,-4.8757,9,fell,11:05:42
462,-4.1,13,fell,11:05:48
463,-4.9692,16,fell,11:05:55
464,11.2776,12,landed,11:06:01
465,-3.9204,13,fell,11:06:17
466,-5.2297,9,fell,11:06:22
467,10.6897,19,landed,11:06:30
468,-5.2439,11,fell,11:06:36
469,10.9071,16,landed,11:06:43
470,-4.0,12,fell,11:06:58
471,-4.621,9,fell,11:07:03
472,-4.2096,14,fell,11:07:10
473,10.7869,17,landed,11:07:16
474,-3.8,10,fell,11:07:22
475,11.2821,13,landed,11:07:28
476,-4.7,19,fell,11:07:46
477,-4.1,13,fell,11:07:52
478,-4.2,14,fell,11:07:58
479,-4.1,13,fell,11:08:04
480,11.3801,12,landed,11:08:10
481,-4.2,14,fell,11:08:17
482,-4.1,13,fell,11:08:23
483,-3.7907,12,fell,11:08:28
484,-4.2993,14,fell,11:08:35
485,11.5791,9,landed,11:08:40
486,-4.0913,13,fell,11:08:57
487,-4.0,12,fell,11:09:03
488,11.029,13,landed,11:09:09
489,-4.1,13,fell,11:09:25
490,11.1658,13,landed,11:09:31
491,10.7679,17,landed,11:09:48
492,11.2949,13,landed,11:09:55
493,10.637,16,landed,11:10:11
494,11.1809,13,landed,11:10:27
495,-4.3077,11,fell,11:10:33
496,10.7782,18,landed,11:10:40
497,-4.2016,14,fell,11:10:47
498,11.3986,12,landed,11:10:53
499,11.1637,13,landed,11:11:09
500,-4.2,14,fell,11:11:26
501,-4.1,13,fell,11:11:32
502,-3.9521,12,fell,11:11:38
503,11.0024,14,landed,11:11:44
504,-4.1,13,fell,11:12:00
505,10.5634,20,landed,11:12:07
506,-4.182,14,fell,11:12:22
507,-4.6,18,fell,11:12:30
508,-4.7,19,fell,11:12:37
509,-4.6903,8,fell,11:12:42
510,-5.0847,19,fell,11:12:49
511,11.2851,12,landed,11:12:55
512,-4.4072,12,fell,11:13:11
513,-4.99,7,fell,11:13:16
514,-4.4322,17,fell,11:13:23
515,11.0798,13,landed,11:13:29
516,-4.1,13,fell,11:13:36
517,-4.1,13,fell,11:13:42
518,11.0675,14,landed,11:13:49
519,10.7617,17,landed,11:14:05
520,-4.3547,11,fell,11:14:20
521,-4.1,13,fell,11:14:26
522,-4.2,14,fell,11:14:33
523,-5.5644,11,fell,11:14:38
524,-4.2181,11,fell,11:14:44
525,-4.6,18,fell,11:14:51
526,11.1207,13,landed,11:14:57
527,-4.1487,14,fell,11:15:14
528,-5.3083,7,fell,11:15:19
529,-4.8846,19,fell,11:15:26
530,-5.2906,10,fell,11:15:32
531,-4.2578,15,fell,11:15:38
532,-4.1,13,fell,11:15:44
533,-4.5369,9,fell,11:15:50
534,-4.6094,18,fell,11:15:57
535,-4.5024,17,fell,11:16:04
536,10.5919,20,landed,11:16:11
537,-4.1571,13,fell,11:16:18
538,11.4601,11,landed,11:16:24
539,-4.5516,10,fell,11:16:40
540,-4.1,13,fell,11:16:46
541,-4.2,14,fell,11:16:52
542,-4.9628,23,fell,11:17:00
543,-4.1429,14,fell,11:17:07
544,-4.4043,11,fell,11:17:12
545,-4.6156,15,fell,11:17:19
546,-4.9785,12,fell,11:17:25
547,-4.4,16,fell,11:17:32
548,11.2902,12,landed,11:17:38
549,-4.0,12,fell,11:17:54
550,-4.3493,16,fell,11:18:00
551,10.8897,17,landed,11:18:07
552,-4.0,12,fell,11:18:23
553,-4.5,17,fell,11:18:30
554,-4.4533,11,fell,11:18:35
555,-3.9,11,fell,11:18:41
556,-4.0,12,fell,11:18:47
557,10.9475,16,landed,11:18:54
558,11.1154,13,landed,11:19:10
559,-4.4,16,fell,11:19:26
560,-4.4388,20,fell,11:19:33
561,10.9116,15,landed,11:19:40
562,11.2102,13,landed,11:19:55
563,-4.1,13,fell,11:20:12
564,10.7125,18,landed,11:20:19
565,11.0956,14,landed,11:20:34
566,-3.9,11,fell,11:20:50
567,11.012,14,landed,11:20:56
568,-4.2166,14,fell,11:21:12
569,-4.3329,15,fell,11:21:18
570,11.0256,13,landed,11:21:25
571,11.1798,13,landed,11:21:41
572,-4.6353,19,fell,11:21:58
573,11.3538,12,landed,11:22:04
574,-3.9,11,fell,11:22:20
575,-4.944,9,fell,11:22:25
576,11.0628,14,landed,11:22:32
577,11.2363,13,landed,11:22:38
578,11.1916,12,landed,11:22:45
579,-4.3,15,fell,11:23:02
580,-3.9,11,fell,11:23:08
581,-5.1511,4,fell,11:23:13
582,11.1977,13,landed,11:23:19
583,-4.2227,13,fell,11:23:25
584,11.1446,13,landed,11:23:31
585,11.0499,15,landed,11:23:47
586,-5.2424,27,fell,11:24:05
587,-4.6457,18,fell,11:24:12
588,-4.9236,7,fell,11:24:18
589,-5.0446,22,fell,11:24:25
590,-3.8,10,fell,11:24:31
591,-4.3,15,fell,11:24:37
592,-4.3,15,fell,11:24:44
593,-4.4323,16,fell,11:24:51
594,11.1314,14,landed,11:24:57
595,-4.3276,15,fell,11:25:13
596,11.2326,13,landed,11:25:19
597,-4.206,11,fell,11:25:35
598,-4.2,14,fell,11:25:42
599,-4.9853,14,fell,11:25:48
600,-5.203,23,fell,11:25:56
601,11.0886,14,landed,11:26:02
602,-4.2,14,fell,11:26:18
603,-4.3,15,fell,11:26:25
604,-4.1136,14,fell,11:26:31
605,-4.0,12,fell,11:26:37
606,10.985,16,landed,11:26:43
607,-4.5732,20,fell,11:27:00
608,10.7966,17,landed,11:27:07
609,-4.1074,13,fell,11:27:23
610,-4.5,17,fell,11:27:29
611,-4.4308,18,fell,11:27:36
612,-4.3373,17,fell,11:27:43
613,-4.1,13,fell,11:27:49
614,-4.207,14,fell,11:27:55
615,-4.1614,10,fell,11:28:02
616,11.2965,12,landed,11:28:07
617,11.2957,13,landed,11:28:23
618,-5.097,9,fell,11:28:29
619,11.0811,14,landed,11:28:36
620,10.7172,17,landed,11:28:52
621,-3.7,9,fell,11:29:07
622,11.2993,12,landed,11:29:13
623,-4.0,12,fell,11:29:29
624,10.9794,14,landed,11:29:35
625,9.786,28,landed,11:29:54
626,11.2611,13,landed,11:30:07
627,11.0105,14,landed,11:30:14
628,-4.0509,16,fell,11:30:31
629,-4.6,18,fell,11:30:38
630,-4.3799,10,fell,11:30:43
631,11.132,14,landed,11:30:50
632,-4.2,14,fell,11:31:06
633,11.2583,12,landed,11:31:12
634,11.1353,14,landed,11:31:28
635,10.4715,20,landed,11:31:45
636,10.3374,20,landed,11:31:53
637,-4.4162,16,fell,11:32:09
638,-4.5,17,fell,11:32:15
639,11.2359,13,landed,11:32:22
640,-5.1427,23,fell,11:32:30
641,-3.9,11,fell,11:32:36
642,-3.9357,13,fell,11:32:42
643,-5.0641,13,fell,11:32:48
644,10.9852,14,landed,11:32:54
645,-4.4742,14,fell,11:33:00
646,-4.1,13,fell,11:33:06
647,11.2708,12,landed,11:33:12
648,-4.3273,16,fell,11:33:29
649,-3.9,11,fell,11:33:35
650,10.7376,18,landed,11:33:42
651,-4.4,16,fell,11:33:58
652,-4.0628,11,fell,11:34:04
653,11.1015,13,landed,11:34:10
654,11.247,12,landed,11:34:26
655,10.9591,15,landed,11:34:43
656,10.5522,20,landed,11:35:00
657,10.3483,22,landed,11:35:16
658,-4.176,16,fell,11:35:31
659,-4.2515,14,fell,11:35:38
660,-4.8158,12,fell,11:35:44
661,10.9916,15,landed,11:35:50
662,-4.2,14,fell,11:35:58
663,11.2455,12,landed,11:36:04
664,11.0266,15,landed,11:36:20
665,10.1962,24,landed,11:36:29
666,-4.8822,10,fell,11:36:42
667,-4.5964,11,fell,11:36:48
668,-4.2,14,fell,11:36:54
669,-3.8878,10,fell,11:37:00
670,-4.9834,19,fell,11:37:07
671,-4.0792,15,fell,11:37:14
672,11.0033,13,landed,11:37:20
673,11.4094,11,landed,11:37:36
674,-4.7628,11,fell,11:37:52
675,-4.5519,10,fell,11:37:57
676,11.2219,11,landed,11:38:03
677,-4.1,13,fell,11:38:19
678,-4.8983,12,fell,11:38:25
679,-4.5284,9,fell,11:38:31
680,-4.9901,11,fell,11:38:37
681,-4.4574,12,fell,11:38:43
682,11.3612,12,landed,11:38:49
683,11.1444,13,landed,11:39:05
684,11.2773,13,landed,11:39:21
685,-4.3583,10,fell,11:39:37
686,11.0933,15,landed,11:39:43
687,-4.7388,18,fell,11:40:00
688,-4.0137,11,fell,11:40:07
689,10.9564,16,landed,11:40:13
690,11.421,11,landed,11:40:28
691,-4.4044,11,fell,11:40:35
692,-4.1,13,fell,11:40:41
693,-4.6621,21,fell,11:40:49
694,-4.7987,19,fell,11:40:56
695,11.0538,15,landed,11:41:03
696,-4.1921,14,fell,11:41:09
697,11.3199,12,landed,11:41:15
698,-4.2648,13,fell,11:41:32
699,11.0147,15,landed,11:41:38
700,-4.4422,15,fell,11:41:54
701,-4.0,12,fell,11:42:00
702,-4.7183,10,fell,11:42:06
703,-4.1,13,fell,11:42:12
704,11.1152,14,landed,11:42:19
705,-4.2827,14,fell,11:42:35
706,-4.0739,14,fell,11:42:41
707,10.8077,16,landed,11:42:48
708,11.2302,12,landed,11:42:55
709,-4.0,12,fell,11:43:01
710,10.802,17,landed,11:43:08
711,-4.6009,14,fell,11:43:15
712,-4.2564,11,fell,11:43:21
713,11.2125,12,landed,11:43:27
714,-4.7865,15,fell,11:43:44
715,-3.9371,11,fell,11:43:49
716,-4.1,13,fell,11:43:56
717,-4.4926,11,fell,11:44:01
718,-4.6547,20,fell,11:44:09
719,-4.2,14,fell,11:44:15
720,10.6477,19,landed,11:44:22
721,-3.7647,9,fell,11:44:37
722,-4.0562,16,fell,11:44:43
723,11.2552,13,landed,11:44:49
724,11.2706,13,landed,11:45:05
725,-3.9,11,fell,11:45:21
726,11.2902,12,landed,11:45:28
727,11.2587,12,landed,11:45:43
728,-4.3,15,fell,11:46:00
729,11.1569,12,landed,11:46:06
730,11.1612,14,landed,11:46:22
731,11.3153,12,landed,11:46:38
732,-4.5721,13,fell,11:46:54
733,-4.3,15,fell,11:47:01
734,-3.9,11,fell,11:47:07
735,10.7843,17,landed,11:47:13
736,-4.2,14,fell,11:47:29
737,-4.1264,13,fell,11:47:35
738,11.2402,12,landed,11:47:41
739,11.2652,12,landed,11:47:57
740,-4.3,15,fell,11:48:14
741,-4.3,15,fell,11:48:20
742,10.6552,19,landed,11:48:28
743,-4.069,11,fell,11:48:42
744,11.1796,13,landed,11:48:49
745,11.0926,15,landed,11:48:55
746,-4.0,12,fell,11:49:11
747,-4.3505,17,fell,11:49:18
748,-4.2,14,fell,11:49:24
749,-5.1702,9,fell,11:49:30
750,11.416,10,landed,11:49:35
751,-3.9133,11,fell,11:49:52
