# env: bridging
# spawn: 0.5,46.0,1.5
# goal: 0.5,46.0,7.5
episode,step,x,y,z,yaw,pitch,on_ground,action,reward,done,outcome,env
1,73,0.3505,46.0,1.3301,164.52,-1.26,0,move_forward,-0.02,0,alive,bridging
1,74,0.3238,46.0,1.2263,164.52,-10.26,0,look_up,-0.02,0,alive,bridging
1,75,0.3012,46.0,1.1426,164.52,-28.26,0,no_op,-0.02,0,alive,bridging
1,76,0.3012,46.0,1.1426,164.52,-28.26,0,move_backward,-0.02,0,alive,bridging
1,77,0.3325,46.0,1.2531,164.52,-28.26,0,move_backward,-0.02,0,alive,bridging
1,78,0.372,46.0,1.412,173.7,-28.26,0,turn_right,-0.02,0,alive,bridging
1,79,0.3755,46.0,1.4897,200.7,-28.26,0,turn_right,-0.02,0,alive,bridging
1,80,0.3746,46.0,1.521,218.7,-28.26,0,strafe_left,0.0063,0,alive,bridging
1,81,0.3322,46.0,1.4982,218.7,-28.26,0,turn_left,0.0,0,alive,bridging
1,82,0.2976,46.0,1.498,218.7,-28.26,0,move_backward,0.0,0,alive,bridging
1,83,0.2227,46.0,1.586,227.7,-28.26,0,turn_right,0.0195,0,alive,bridging
1,84,0.1561,46.0,1.6399,245.7,-28.26,0,look_up,0.0162,0,alive,bridging
1,85,0.1561,46.0,1.6399,254.7,-28.26,0,turn_right,0.0,0,alive,bridging
1,86,0.1561,46.0,1.6399,272.7,-28.26,0,look_up,0.0,0,alive,bridging
1,87,0.1561,46.0,1.6399,272.7,-28.26,0,turn_right,0.0,0,alive,bridging
1,88,0.1561,46.0,1.6399,272.7,-28.26,0,look_up,0.0,0,alive,bridging
1,89,0.1561,46.0,1.6399,272.7,-28.26,0,no_op,0.0,0,alive,bridging
1,90,0.1561,46.0,1.6399,272.7,-28.26,0,move_forward,-4.8918,1,mission_ended,bridging
2,1,0.5,46.0,1.5,0.0,70.0,0,strafe_left,-0.01,0,alive,bridging
2,2,0.8322,46.0,1.5,12.06,70.0,0,turn_right,-0.01,0,alive,bridging
2,3,0.9155,46.0,1.5,45.0,70.0,0,turn_right,-0.01,0,alive,bridging
2,4,0.9155,46.0,1.5,66.06,70.0,0,turn_right,-0.01,0,alive,bridging
2,5,0.9155,46.0,1.5,86.94,70.0,0,sneak_down,0.0,0,alive,bridging
2,6,0.9155,46.0,1.5,86.94,70.0,0,no_op,0.0,0,alive,bridging
2,7,0.9155,46.0,1.5,86.94,70.0,0,turn_right,0.0,0,alive,bridging
2,8,0.9155,46.0,1.5,97.56,70.0,0,move_backward,0.0,0,alive,bridging
2,9,0.9269,46.0,1.5,178.56,70.0,0,move_backward,0.0,0,alive,bridging
2,10,0.9279,46.0,1.5463,178.56,70.0,0,turn_right,0.0139,0,alive,bridging
2,11,0.9198,46.0,1.6291,198.36,70.0,0,move_forward,0.0248,0,alive,bridging
2,12,0.9338,46.0,1.5982,198.36,70.0,0,move_backward,0.0,0,alive,bridging
2,13,0.9338,46.0,1.5982,198.36,70.0,0,place_block,0.0,0,alive,bridging
2,14,0.924,46.0,1.6403,198.36,70.0,0,move_backward,0.0034,0,alive,bridging
2,15,0.9198,46.0,1.6712,198.36,70.0,0,move_backward,0.0093,0,alive,bridging
2,16,0.9198,46.0,1.6712,198.36,70.0,0,turn_right,0.0,0,alive,bridging
2,17,0.9051,46.0,1.7641,208.26,70.0,0,sneak_down,0.0279,0,alive,bridging
2,18,0.9051,46.0,1.7641,208.26,79.0,0,look_down,0.0,0,alive,bridging
2,19,0.9051,46.0,1.7641,217.44,90.0,0,turn_right,0.0,0,alive,bridging
2,20,0.9051,46.0,1.7641,238.32,90.0,0,look_down,0.0,0,alive,bridging
2,21,0.9051,46.0,1.7641,248.76,90.0,0,turn_right,0.0,0,alive,bridging
2,22,0.9051,46.0,1.7641,268.2,90.0,0,look_up,0.0,0,alive,bridging
2,23,0.9036,46.0,1.7922,268.2,90.0,0,move_backward,0.0084,0,alive,bridging
2,24,0.8422,46.0,1.7939,268.2,90.0,0,sneak_up,-0.0095,0,alive,bridging
2,25,0.7561,46.0,1.7951,278.64,90.0,0,turn_right,-0.0097,0,alive,bridging
2,26,0.7176,46.0,1.7944,296.64,90.0,0,move_backward,-0.01,0,alive,bridging
2,27,0.4359,46.0,1.6609,296.64,90.0,0,move_backward,-0.01,0,alive,bridging
2,28,-0.025,46.0,1.4301,296.64,90.0,0,move_backward,-0.01,0,alive,bridging
2,29,-0.3814,45.9216,1.2514,296.64,90.0,0,sneak_down,0.0,0,alive,bridging
2,30,-0.5723,45.2315,1.1556,296.64,90.0,0,move_forward,0.0,0,alive,bridging
2,31,-0.7044,43.8904,1.0894,296.64,90.0,0,look_up,0.0,0,alive,bridging
2,32,-0.7892,41.9367,1.0469,296.64,90.0,0,move_backward,-5.0,1,fell,bridging
3,1,0.5,46.0,1.5,0.0,70.0,0,no_op,-0.01,0,alive,bridging
3,2,0.5,46.0,1.5,0.0,70.0,0,turn_right,-0.01,0,alive,bridging
3,3,0.5,46.0,1.5,0.0,70.0,0,sneak_down,0.0,0,alive,bridging
3,4,0.5,46.0,1.5,10.44,70.0,0,turn_right,0.0,0,alive,bridging
